id,issue_detail,category_id,subcategory_id,frequency,step1,step2,step3,step4,step5
1,Wi-Fi not connecting,1,1,20,Restart the router.,Reconnect to the network.,Update wireless drivers.,Check router settings.,Contact support.
2,Wi-Fi speed slow,1,1,18,Restart the router.,Clear cache.,Use different channel.,Update router firmware.,Contact support.
3,Bluetooth not pairing,2,1,15,Ensure Bluetooth is enabled.,Restart devices.,Update drivers.,Forget and re-pair device.,Contact support.
4,Bluetooth disconnects frequently,2,2,12,Update drivers.,Reconnect device.,Check battery levels.,Disable power saving.,Contact support.
5,Email not syncing,3,1,14,Check server settings.,Restart app.,Update email client.,Check internet.,Contact support.
6,Email sending failed,3,2,10,Check SMTP settings.,Verify recipient email.,Restart client.,Update app.,Contact support.
7,Slow browsing speed,4,1,13,Restart router.,Clear browser cache.,Use a wired connection.,Check for malware.,Contact support.
8,Network cable unplugged,4,2,9,Check cable connection.,Replace cable.,Check adapter settings.,Restart router.,Contact support.
9,App notifications delayed,5,1,8,Check app settings.,Update app.,Restart phone.,Clear app cache.,Contact support.
10,App not opening,5,2,6,Restart device.,Reinstall app.,Check permissions.,Update app.,Contact support.
11,Wi-Fi disconnects frequently,1,1,16,Restart router.,Change Wi-Fi channel.,Move closer.,Update firmware.,Contact support.
12,Bluetooth audio lagging,2,1,11,Check battery levels.,Restart devices.,Reduce distance.,Disable unused devices.,Contact support.
13,Email marked as spam,3,3,7,Check spam filters.,Whitelist sender.,Contact provider.,Update client.,Contact support.
14,Slow upload speed,4,1,10,Restart router.,Close background uploads.,Update drivers.,Test different server.,Contact support.
15,Push notifications not working,5,1,8,Check notification settings.,Restart device.,Update app.,Clear app cache.,Contact support.
16,Bluetooth file transfer failed,2,2,7,Ensure devices are discoverable.,Restart Bluetooth.,Update drivers.,Reduce file size.,Contact support.
17,Voice call drops suddenly,4,2,10,Check internet speed.,Restart device.,Update app.,Close background apps.,Contact support.
18,Wi-Fi password not accepted,1,1,9,Ensure correct password.,Restart router.,Forget and re-add network.,Check settings.,Contact support.
19,Unable to receive emails,3,1,8,Check internet connection.,Verify server settings.,Update app.,Restart device.,Contact support.
20,Wi-Fi fluctuates,1,1,12,Restart router.,Change frequency band.,Update router.,Test other devices.,Contact support.
21,Bluetooth keyboard not typing,2,2,8,Check battery.,Reconnect device.,Update drivers.,Reset keyboard.,Contact support.
22,Email duplicate issue,3,2,8,Restart app.,Remove and re-add account.,Update client.,Check filters.,Contact support.
23,Slow webpage loading,4,1,10,Restart router.,Clear browser cache.,Switch browser.,Test speed.,Contact support.
24,App crashing often,5,2,7,Restart device.,Reinstall app.,Update app.,Check permissions.,Contact support.
25,Wi-Fi signal weak,1,1,11,Move closer to router.,Remove interference.,Restart router.,Update firmware.,Contact support.
26,Bluetooth mouse not working,2,2,8,Check battery.,Reconnect device.,Update drivers.,Disable power saving.,Contact support.
27,Email attachment error,3,3,7,Check file size.,Restart app.,Update client.,Try another device.,Contact support.
28,Connection drops frequently,4,1,12,Restart router.,Check cables.,Update firmware.,Test other devices.,Contact support.
29,Push notifications delayed,5,1,6,Check notification settings.,Restart app.,Update app.,Clear app cache.,Contact support.
30,No internet access,4,1,15,Restart router.,Check cables.,Check adapter settings.,Update drivers.,Contact support.
31,Bluetooth headset low volume,2,2,8,Check volume settings.,Reconnect device.,Update drivers.,Reset headset.,Contact support.
32,Email draft not saving,3,2,6,Check internet.,Restart app.,Update client.,Try another device.,Contact support.
33,Wi-Fi network not showing,1,1,9,Restart router.,Ensure SSID is broadcasted.,Move closer.,Update firmware.,Contact support.
34,App update stuck,5,2,7,Restart device.,Check storage.,Update app.,Reinstall app.,Contact support.
35,Bluetooth not discoverable,2,1,6,Enable discovery mode.,Restart Bluetooth.,Update drivers.,Reset settings.,Contact support.
36,Email app frozen,3,1,7,Restart app.,Clear app cache.,Update client.,Restart device.,Contact support.
37,Slow connection to VPN,4,2,9,Check internet speed.,Restart VPN app.,Change server.,Update app.,Contact support.
38,No sound in app,5,2,8,Check volume settings.,Restart app.,Update app.,Reinstall app.,Contact support.
39,Wi-Fi drops during calls,1,1,10,Restart router.,Move closer to router.,Update firmware.,Check for interference.,Contact support.
40,Bluetooth microphone not working,2,2,7,Check permissions.,Reconnect device.,Update drivers.,Test another device.,Contact support.
41,Email search slow,3,2,6,Clear search cache.,Update client.,Restart app.,Check filters.,Contact support.
42,Web pages not loading,4,1,14,Restart router.,Check DNS settings.,Switch browser.,Update drivers.,Contact support.
43,App login issues,5,1,7,Check credentials.,Restart app.,Update app.,Clear cache.,Contact support.
44,Wi-Fi no internet access,1,1,15,Restart router.,Check ISP status.,Update router firmware.,Test other devices.,Contact support.
45,Bluetooth stuttering audio,2,1,9,Check distance.,Restart devices.,Update drivers.,Reduce interference.,Contact support.
46,Email delayed delivery,3,3,7,Check server settings.,Restart app.,Update client.,Contact provider.,Contact support.
47,Slow file upload,4,1,10,Check internet speed.,Close background apps.,Update drivers.,Switch server.,Contact support.
48,App freezing,5,2,8,Restart device.,Reinstall app.,Update app.,Clear app cache.,Contact support.
49,Wi-Fi range limited,1,1,12,Move closer to router.,Add range extender.,Update firmware.,Test other devices.,Contact support.
50,Bluetooth connection fails intermittently,2,2,8,Update drivers.,Restart devices.,Reconnect device.,Test another device.,Contact support.
51,Email not opening attachments,3,2,6,Check file format.,Restart app.,Update client.,Try another device.,Contact support.
52,Internet slow at peak hours,4,1,9,Restart router.,Test speed.,Update firmware.,Switch to wired connection.,Contact support.
53,Notifications not showing,5,1,8,Check app permissions.,Restart device.,Update app.,Reinstall app.,Contact support.
54,Bluetooth speaker no sound,2,2,7,Check volume settings.,Reconnect device.,Update drivers.,Test another device.,Contact support.
55,Email spam increase,3,3,6,Update filters.,Mark spam emails.,Whitelist senders.,Contact provider.,Contact support.
56,Web pages timeout,4,1,13,Restart router.,Switch browser.,Clear cache.,Test speed.,Contact support.
57,App installation error,5,2,8,Check storage.,Restart device.,Reinstall app.,Update app.,Contact support.
58,Wi-Fi not reconnecting,1,1,10,Forget network.,Re-add network.,Restart router.,Update firmware.,Contact support.
59,Bluetooth lag in calls,2,1,7,Reduce distance.,Update drivers.,Restart devices.,Test another headset.,Contact support.
60,Email app sync issue,3,1,8,Restart app.,Update client.,Check server settings.,Contact provider.,Contact support.
61,Network drops on cable,4,2,10,Check cable.,Replace cable.,Restart router.,Check adapter settings.,Contact support.
62,App notifications out of order,5,1,7,Check app settings.,Update app.,Restart device.,Clear app cache.,Contact support.
63,Wi-Fi intermittent drops,1,1,11,Restart router.,Update firmware.,Move closer.,Test other devices.,Contact support.
64,Bluetooth reconnecting issue,2,1,9,Restart Bluetooth.,Reconnect device.,Update drivers.,Test another device.,Contact support.
65,Email auto logout,3,2,7,Check account settings.,Update app.,Restart client.,Try another device.,Contact support.
66,Web pages load partially,4,1,10,Clear browser cache.,Switch browser.,Check DNS settings.,Restart router.,Contact support.
67,App not downloading,5,2,8,Check storage space.,Restart device.,Reinstall app.,Update app.,Contact support.
68,Wi-Fi unable to connect,1,1,14,Restart router.,Check settings.,Forget and reconnect.,Update drivers.,Contact support.
69,Bluetooth interference,2,2,10,Reduce distance.,Turn off other devices.,Update drivers.,Restart Bluetooth.,Contact support.
70,Email settings reset,3,1,7,Check account settings.,Update client.,Restart app.,Contact provider.,Contact support.
71,Wi-Fi speed inconsistent,1,1,12,Restart router.,Change frequency band.,Update firmware.,Test with another device.,Contact support.
72,Bluetooth disconnect on standby,2,1,6,Disable power saving.,Reconnect device.,Update drivers.,Test another device.,Contact support.
73,Email not updating,3,2,6,Check server settings.,Restart app.,Update client.,Try another device.,Contact support.
74,Slow web browsing,4,1,8,Clear browser cache.,Switch browser.,Restart router.,Test speed.,Contact support.
75,App crashes on start,5,1,8,Restart device.,Reinstall app.,Clear app cache.,Update app.,Contact support.
76,Wi-Fi limited connectivity,1,1,9,Restart router.,Update router firmware.,Move closer.,Check for interference.,Contact support.
77,Bluetooth audio quality poor,2,2,8,Check device battery.,Update drivers.,Reduce distance.,Test with another device.,Contact support.
78,Email notification delay,3,1,7,Check app settings.,Update app.,Restart device.,Clear app cache.,Contact support.
79,Slow app loading,5,1,8,Clear app cache.,Restart device.,Update app.,Reinstall app.,Contact support.
80,Wi-Fi security breach,1,1,10,Change password.,Update router firmware.,Restart router.,Contact support.,Contact ISP.
81,Bluetooth signal weak,2,1,7,Reduce distance.,Update drivers.,Restart devices.,Test another device.,Contact support.
82,Email sync error,3,1,6,Check server settings.,Restart app.,Update client.,Try another device.,Contact support.
83,Wi-Fi interference from neighbors,1,1,14,Change channel.,Update router firmware.,Use a different frequency band.,Contact ISP.,Contact support.
84,App crashes randomly,5,1,8,Update app.,Clear app cache.,Reinstall app.,Restart device.,Contact support.
85,Bluetooth connection drops,2,2,9,Check battery levels.,Reconnect device.,Update drivers.,Disable power saving.,Contact support.
86,Email app freezing,3,2,7,Clear app cache.,Update app.,Restart app.,Check account settings.,Contact support.
87,Slow web page render,4,1,10,Clear browser cache.,Switch browser.,Update drivers.,Check internet speed.,Contact support.
88,Wi-Fi not recognized,1,1,13,Restart router.,Update firmware.,Move closer.,Check network settings.,Contact support.
